id,book,chapter,verse_start,verse_end,plate_source,tags,text_excerpt,updated
1ne-17-5,1 Nephi,17,5,5,small_plates,"bountiful-old-world;flora;small-plates;high-signal",And we did come to the land which we called Bountiful...,2026-07-29
1ne-18-23,1 Nephi,18,23,23,small_plates,"landing;voyage;promised-land;small-plates;high-signal",...we did arrive at the promised land...,2026-07-29
1ne-18-24,1 Nephi,18,24,24,small_plates,"seed-grow;climate;landing;small-plates;high-signal;botanical",...seeds...from the land of Jerusalem...grow exceedingly...,2026-07-29
